Player	Pos	HT	WT	Birth City	Birth Date	HS Grad	Draft Year	College	Current Team
Andrew Bogut	C	7-0	260	Melbourne	Nov 28, 1984	2003	2005	Utah	-
Luke Schenscher	C	7-1	255	Hope Forest	Dec 31, 1982	2001	2005	Georgia Tech	-
Patty Mills	G	6-0	180	Canberra	Aug 11, 1988	2007	2009	Saint Mary's	-
Aron Baynes	C	6-10	260	Gisborne	Dec 9, 1986	2005	2009	Washington State	-
Luke Nevill	C	7-2	265	Perth	Feb 19, 1986	2005	2009	Utah	-
Daniel Dillon	G	6-3	197	Melbourne	Mar 19, 1986	2004	2008	Arizona	Adelaide
Aleks Maric	C	6-11	270	Sydney	Oct 22, 1984	2004	2008	Nebraska	-
Aaron Bruce	G	6-3	185	Horsham	Dec 19, 1984	2004	2008	Baylor	-
A.J. Ogilvy	C	6-11	250	Sydney	Jun 17, 1988	2007	2010	Vanderbilt	Illawarra
Ben Allen	C	6-11	256	Melbourne	Dec 30, 1987	2005	2010	Saint Mary's	-
Ater Majok	FC	6-11	233	Khartoum	Jul 4, 1987	2008	2011	Connecticut	-
Martin Iti	FC	6-10	240	Sydney	Feb 28, 1983	2003	2008	New Mexico State	-
Shawn Redhage	F	6-8	225	Lincoln, NE	Jan 21, 1981	1999	2003	Arizona State	-
Daniel Kickert	C	6-10	250	Melbourne	May 29, 1983	2002	2006	Saint Mary's	Sydney
Jordan Vandenberg	C	7-1	245	Melbourne	Mar 25, 1990	2009	2014	NC State	-
Nate Tomlinson	PG	6-3	185	Sydney	Jul 24, 1989	2008	2012	Colorado	-
Shane Harris-Tunks	C	6-11	250	Greenacre	May 27, 1990	2009	2014	Colorado	-
Alex Loughton	F	6-9	240	Perth	May 3, 1983	2002	2006	Old Dominion	-
Kevin Brophy	G	6-1	195	Melbourne	Feb 26, 1985	2004	2008	Georgia	-
Ryan Thompson	GF	6-6	215	Gold Coast	Sep 6, 1982	2004	2008	Connecticut	-
Justin Brown	C	7-0	190	Perth	May 13, 1980	1998	2003	Connecticut	-
Ian Crosswhite	F	7-0	250	Melbourne	Nov 23, 1982	2002	2006	Oregon	-
Angus Brandt	FC	6-10	246	Sydney	Oct 26, 1989	2009	2014	Oregon State	Shiga Lakestars
Rhys Murphy	SF	6-7	195	Canberra	-	2009	2014	Chaminade	-
